ID;Name;Is Active;City Insee Code;Address;Zip Code;Siret;France Services Label;Nombre d'aidants;Nombre D'usagers Uniques;Nombre De Demarche Par Structure;Nombre Demarche Argent;Nombre Demarche Etranger;Nombre Demarche Famille;Nombre Demarche Justice;Nombre Demarche Loisirs;Nombre Demarche Papier;Nombre Demarche Social;Nombre Demarche Transport;Nombre Demarche Travail;Nombre Demarche Logement
1;BetaGouv;TRUE;75107;20 Avenue de Ségur, 75007 Paris;75007;1;FALSE;22;9;255;26;7;15;7;106;61;18;29;15;5
2;Blueconfig;TRUE;64421;2 AVENUE DES FONTAINES;64680;828 213 371;FALSE;5;5;137;40;12;15;11;11;19;24;16;15;13
3;La Palette - Le Panel des possibles;FALSE;23244;"9 place de la Poste 
23800 Dun Le Palestel";23800;1;FALSE;3;;;;;;;;;;;;
4;Net SOLIDAIRE;FALSE;17300;"14 bis avenue des grandes Varennes 
17000 La Rochelle";17000;1;FALSE;4;;;;;;;;;;;;
5;Médiathèque Simone de Beauvoir;TRUE;26281;rue Sabaton;26100;1;FALSE;5;1;4;4;;;;;;;;;
6;PIMMS Blois;TRUE;42218;11 place René Coty 42000 Blois;42000;1;FALSE;6;1;5;;;3;;;;3;;;
7;Conseil Départemental d'Eure-et-Loir;TRUE;28085;1 place Châtelet 28028 Chartres Cedex;28000;1;FALSE;4;70;835;187;25;154;26;7;123;224;30;231;167
8;CCAS d'Anglet;FALSE;64024;"Hôtel de ville 
Rue Amédée Dufourg 
BP 303 
64603 Anglet Cedex";64600;1;FALSE;2;;;;;;;;;;;;
9;La Fabrique Citoyenne;TRUE;33167;"Hôtel de Ville 
6 avenue Pasteur
33270 Floirac";33270;1;FALSE;7;485;10 355;2 042;1 538;1 825;1 476;1 406;1 693;2 033;1 823;1 571;1 691
10;Mairie de Préguillac;FALSE;17444;7 Rue de Perjus, 17460 Préguillac;17460;1;FALSE;0;;;;;;;;;;;;
11;Mairie de Rioux;FALSE;17444;12 Place de la Mairie, 17460 Rioux;17460;1;FALSE;1;;;;;;;;;;;;
12;Association des centres sociaux de Douai;TRUE;59178;68 rue Charles Monsarrat;59500;1;FALSE;3;;;;;;;;;;;;
13;Le Faitout Connecté;TRUE;02676;2 Bis Route de Montaigu;02820;1;FALSE;6;762;10 213;2 522;10;969;17;5;1 652;2 633;1 274;3 372;80
14;France Service Chalonnes-sur-Loire;TRUE;49063;4 rue des poilus;49290;1;FALSE;3;;;;;;;;;;;;
15;Maison France Service , Vic-sur-seille;TRUE;57448;22 place Philipe Leroy;57630;21 570 712 600 011;FALSE;0;;;;;;;;;;;;
16;France Service Ligny-en-Barrois;TRUE;55374;12/14 rue des Etats-Unis;55500;1;FALSE;1;2;5;;;3;;;;2;;;
17;Maison des solidarités de Castanet;TRUE;31113;68 Avenue du Lauragais;31320;1;FALSE;5;1;9;3;;2;2;;2;2;;2;2
18;Mon Assistant Numérique cambrésis;TRUE;59122;105 rue de crevecoeur;59400;1;FALSE;1;1;4;2;;2;;;;2;;;
19;Foyer des jeunes travailleurs de Saint-Amand-Montrond;TRUE;18197;34-36 rue de la Brasserie;18200;1;FALSE;3;26;614;136;79;93;88;85;93;119;94;148;98
20;ASOFT;TRUE;26220;29 rue Draye de Meyne, 26110, NYONS;26110;1;FALSE;5;16;142;35;4;10;2;2;12;44;35;14;22
21;CCAS de Roanne;TRUE;42187;Centre Administratif Paul Pillet - Place de l’Hôtel de Ville;42300;26 421 024 600 015;FALSE;2;51;817;297;;88;7;;101;282;8;14;229
22;CCAS Villeneuve Saint-Georges;TRUE;94078;9 rue de la Marne;94190;26 940 045 300 016;FALSE;8;40;1 627;618;185;379;137;125;184;244;158;198;197
23;Espace 2M;TRUE;42187;4 Rue Molière 42300;42300;38 165 459 900 020;FALSE;29;1;2;;;;;;;;2;;
24;MAIRIE DE ROMANS SUR ISERE;TRUE;26281;Rue du Capitaine Bozambo;26100;21 260 281 700 018;FALSE;9;4;12;;;2;;;7;;5;;
25;France Services Rumilly;TRUE;74225;25 rue Charles de Gaulle;74150;21 740 225 400 015;TRUE;5;1;5;;;;;;;;5;;
26;Maison de l'emploi  et de l'Entreprise - MIFE Isère;TRUE;38382;4 Avenue du General de Gaulle 38120 Saint-Égrève;38120;42 378 047 700 026;FALSE;3;;;;;;;;;;;;
27;Espace France Services du Diois;TRUE;26113;200 Avenue de la Clairette 26150 Die;26150;19 260 765 300 024;TRUE;5;14;158;18;12;26;11;4;20;42;16;60;18
28;FRANCE SERVICES LOUDEAC;TRUE;22136;15 RUE DE MONCONTOUR 22600 LOUDEAC;22600;20 006 746 000 010;TRUE;4;;;;;;;;;;;;
29;CHOM'ACTIF;TRUE;63113;33 Rue de Vertaizon 63000 Clermont-Ferrand;63000;35 330 044 500 049;FALSE;6;;;;;;;;;;;;
30;Clic' & Ressources;TRUE;73236;126 place des tilleuls;73240;24 730 052 800 061;FALSE;4;6;19;;;;;;2;5;9;;4
31;CCAS ST JACQUES DE LA LANDE;TRUE;35281;1 Rue François Mitterrand 35136 Saint-Jacques-de-la-Lande;35136;26 350 263 500 018;FALSE;2;;;;;;;;;;;;
32;We Ker;TRUE;35238;7 Rue de la Parcheminerie 35000 Rennes;35000;32 777 310 700 013;FALSE;7;15;171;34;6;31;14;2;33;49;27;38;32
33;GRETA VIVA5;TRUE;26362;37 Rue Barthélémy de Laffemas 26000 Valence;26000;20 004 632 400 022;FALSE;1;2;9;;;4;;;3;3;;;
34;Espace France Services du Pays de Landivisiau;TRUE;29105;36 rue Clémenceau;29400;24 290 075 100 189;TRUE;3;9;18;2;;;;;6;;8;2;
35;Maison France Services Bretagne romantique;TRUE;35337;22 Rue des Coteaux 35190 La Chapelle-aux-Filtzméens;35190;24 350 073 300 114;TRUE;3;;;;;;;;;;;;
36;LOCH INFO SERVICES;TRUE;56260;30 Rue Alfred Kastler 56000 Vannes;56000;20 006 793 200 018;FALSE;2;;;;;;;;;;;;
37;ADDCAES;TRUE;73065;Pl Rene Vair 73000 Chambéry;73000;32 332 723 900 055;FALSE;4;;;;;;;;;;;;
38;Mon Assistant Numérique - Baie d'Armor;TRUE;22278;12 Boulevard de la Commune 22000 Saint-Brieuc;22000;87 879 064 100 012;FALSE;1;;;;;;;;;;;;
39;Association Les Amis des Bauges;TRUE;73081;47, rue du capitaine de Courson;73630;31 893 292 800 019;FALSE;2;;;;;;;;;;;;
40;Association Médico-Sociale Anne Morgan (AMSAM);TRUE;02722;31 Rue Anne Morgan 02200 Soissons;02200;77 554 727 600 193;FALSE;11;;;;;;;;;;;;
41;"AMSAM-Centre d'Hébergement d'Urgence ""Le Bon Coin""";TRUE;02722;31 Rue Anne Morgan;02200;77 554 727 600 193;FALSE;1;;;;;;;;;;;;
43;"AMSAM-Centre d'Hébergement d'Urgence ""La Petite Maison""";TRUE;02722;31 Rue Anne Morgan 02200 Soissons;02200;77 554 727 600 193;FALSE;1;;;;;;;;;;;;
44;"AMSAM-Centre d'Hébergement d'Urgence ""Le Clovis""";TRUE;02722;31 Rue Anne Morgan;02200;77 554 727 600 193;FALSE;1;;;;;;;;;;;;
45;FRANCE SERVICES DE SOLRE-LE-CHATEAU;TRUE;59572;19 GRAND RUE;59740;13 000 725 500 016;TRUE;3;50;405;10;;12;;;7;39;86;262;11
46;ESAT les Ateliers de la Lys;TRUE;59143;139 Rue Leon Beauchamp 59930 La Chapelle-d'Armentières;59930;30 457 621 801 147;FALSE;10;2;5;3;;;;;;;;2;
47;CCAS DU NOUVION EN THIERACHE;TRUE;02558;25 Rue Théodore Blot;02170;26 020 546 300 029;FALSE;4;14;70;7;;9;7;;18;16;7;34;9
48;Mon Assistant Numérique;TRUE;62204;16 Rue de Buire;62870;81 490 174 000 013;FALSE;1;;;;;;;;;;;;
49;PIXL GrandSoissons;TRUE;02722;58 Bd Jeanne d'Arc;02200;24 020 047 700 026;FALSE;3;;;;;;;;;;;;
50;CCAS Bailleul;TRUE;59043;41 rue d’Ypres;59270;26 590 043 100 015;FALSE;5;14;200;27;2;33;14;2;35;70;10;46;56
52;Mon Assistant Numérique Cotentin;TRUE;50402;17 La Rue 50340 Benoîtville;50340;85 115 136 500 026;FALSE;0;;;;;;;;;;;;
53;PMS Seynod;TRUE;74010;51 rue Henri Verjus Seynod;74600;22 740 001 700 074;FALSE;13;2;10;2;;4;;;;4;;4;2
54;Clic et Vannes;TRUE;56260;22 avenue Victor Hugo;56000;21 560 260 800 014;FALSE;1;1;10;;;;;;7;;3;;
55;Maison France Services Janzé;TRUE;35136;Place des Halles;35150;21 350 136 400 011;TRUE;3;;;;;;;;;;;;
56;MAN Sud-Gironde - Mon Assistant Numérique;TRUE;33060;2 Le Marquis;33210;88 012 127 200 012;FALSE;1;;;;;;;;;;;;
57;Mon Assistant Numérique Côte Vendéenne;TRUE;85050;5 Rue du Midi 85540 La Jonchère;85540;51 067 404 700 038;FALSE;1;;;;;;;;;;;;
58;Mon Assistant Numérique Nord Lauragais;TRUE;31048;1000 Route de Potié 31450 Montlaur;31450;88 209 300 800 010;FALSE;1;;;;;;;;;;;;
60;Monassistantnumerique Laval;TRUE;53054;15 Rue de la Chartrie 53810 Changé;53810;84 182 435 200 014;FALSE;1;;;;;;;;;;;;
61;SOLIHA REUNION;TRUE;97411;95 b Rue des Deux Canons 97490 Saint-Denis;97490;31 755 681 900 025;FALSE;4;;;;;;;;;;;;
62;Médiation Numérique Terre de Picardie;TRUE;80474;8 avenue Aristide Briand;80320;20 007 092 800 011;FALSE;2;7;95;13;;30;10;;28;34;18;19;18
63;MIIR Maison de l'Insertion et de l'INclusion à La Réunion;TRUE;97407;48 bis Rue Jeanne-d'Arc 97420 Le Port;97420;89 323 081 300 014;FALSE;7;;;;;;;;;;;;
65;ADEP - Agence pour le développement des emplois de proximité;TRUE;76540;65 Rue Orbe 76000 Rouen;76000;50 235 251 100 039;FALSE;0;;;;;;;;;;;;
66;CSCS FLEP;TRUE;16374;9 boulevard Léon Blum, 16800 SOYAUX;16800;78 125 600 300 034;FALSE;6;14;137;23;20;23;18;17;27;24;24;20;26
68;Espace Public Numérique - Ville de Grand-Charmont;TRUE;25388;5 rue de Sochaux;25200;21 250 284 300 015;FALSE;3;1;34;6;5;5;5;5;6;5;5;5;5
69;Mon Assistant Numérique Le Mans;TRUE;72181;52 Boulevard Saint Michel 72000 Le Mans;72000;81 420 950 800 021;FALSE;0;;;;;;;;;;;;
70;Association Solid'Avenir;TRUE;33352;9 Rue Armand Caduc;33190;50 249 017 000 029;FALSE;2;2;24;4;2;4;4;4;4;5;4;6;4
71;COLLECTIF SOCIAL WEB;TRUE;64102;4 BIS Esplanade Jouandin;64100;80 772 384 600 026;FALSE;3;1;6;;;;;;;;;6;
72;MonAssistantNumérique Pays Basque;TRUE;64102;11 impasse Joseph Desarmenien;64100;84 214 250 700 016;FALSE;3;;;;;;;;;;;;
73;Mairie de Marsilly;TRUE;17222;Rue des Ecoles 17137 Marsilly;17137;21 170 222 000 016;FALSE;1;;;;;;;;;;;;
74;France Services/Points Justice Pecquencourt;TRUE;59456;rue de castres  59146 Pecquencourt;59146;21 590 456 600 019;TRUE;2;51;586;84;11;87;87;11;109;115;146;159;78
75;UNA CHARENTE VIENNE;TRUE;16154;20, IMPASSE DE LA VALENCEAUDE;16160;50 100 990 600 022;FALSE;5;1;7;2;;2;;;2;2;;2;2
76;Cyber Espaces Marais;TRUE;59350;60 rue Victor Hugo - LILLE;59160;21 590 355 000 014;FALSE;4;10;255;29;22;83;12;5;31;57;46;27;35
77;Espace France Services Vaugneray;TRUE;69255;5 Place du Marché Vaugneray;69670;20 004 778 500 015;TRUE;3;;;;;;;;;;;;
78;France Services du CC des Monts du Lyonnais;TRUE;69238;Allee de Pluvy;69590;20 006 658 700 011;TRUE;5;2;19;;;;;;;;19;;
79;Médiathèque Armel-de-Wismes Pornic;TRUE;44131;35 rue tartifume 44210 Pornic;44210;21 440 131 700 018;FALSE;3;;;;;;;;;;;;
80;VIRGINIE MICHELLE DEHUYSSER (MICRO-ENTREPRISE DOTEE DE L'AGREMENT SERVICE A LA PERSONNE, SAP);TRUE;68318;12 Rue des Prêtres 68570 Soultzmatt;68570;83 799 949 900 028;FALSE;0;;;;;;;;;;;;
81;patrick brenot;TRUE;21390;18 avenue gaston roupnel;21160;79 331 484 000 018;FALSE;1;;;;;;;;;;;;
82;Association Objectif Emploi;TRUE;14118;avenue Capitaine Georges Guynemer;14000;39 068 953 700 012;FALSE;0;;;;;;;;;;;;
83;Centre Social de Bagatelle;TRUE;33522;201 Rue Robespierre 33400 Talence;33400;78 202 130 700 015;FALSE;5;;;;;;;;;;;;
84;Programme d'Insertion et d'Orientation Sociale;TRUE;13208;31 BOULEVARD JOSEPH VERNET;13008;42 117 188 500 039;FALSE;11;15;225;21;12;74;12;12;29;72;17;51;46
85;Sophia Loisirs et Vie;TRUE;06152;Rue de la Vigne Haute 06560 Valbonne;06560;40 314 912 300 016;FALSE;7;3;47;;3;2;;;5;7;30;2;5
87;Communauté de communes du Pays de Pontchâteau/Saint-Gildas-des-Bois;TRUE;44129;2 Rue des Châtaigniers 44160 Pontchâteau;44160;20 000 043 800 099;FALSE;5;;;;;;;;;;;;
88;Service Pénitentiaire D'Insertion et de Probation d'Indre-et-Loire;TRUE;37261;2 Rue Albert Dennery 37000 Tours;37000;17 210 120 600 578;FALSE;0;;;;;;;;;;;;
89;Maison d'arrêt de DIJON;TRUE;21231;72 bis rue d'Auxonne;21000;17 210 120 600 131;FALSE;0;;;;;;;;;;;;
90;Equipe inclusion numérique;TRUE;38490;1 Avenue Roland Garros 38590 Saint-Étienne-de-Saint-Geoirs;38590;20 005 939 200 015;FALSE;3;118;306;56;3;6;2;;32;53;25;135;13
91;A Lundi;TRUE;40312;Rue Hélène Boucher 40220 Tarnos;40220;43 402 613 400 065;FALSE;3;;;;;;;;;;;;
92;Mairie de Crolles;TRUE;38140;Place de la Mairie 38920 Crolles;38920;21 380 140 000 010;FALSE;2;;;;;;;;;;;;
95;Site Roanne Saint-Clair;TRUE;42187;28 bis rue du Mayollet;42300;26 421 024 600 015;FALSE;1;;;;;;;;;;;;
96;SITE ROANNE PARC;TRUE;42187;25 RUE CONDORCET42300 Roanne;42300;26 421 024 600 015;FALSE;2;3;14;;;;6;;5;3;;;
98;Association des Jeunes Majeurs en Dynamique;TRUE;97412;354 Rue Raphaël Babet 97480 Saint-Joseph;97480;41 245 856 400 033;FALSE;4;156;2 223;582;5;740;49;3;357;463;85;348;587
99;Maison de l'Emploi du Nord de La Réunion;TRUE;97411;12, Rue Champ Fleuri 97490 Saint-Denis;97490;49 476 014 300 029;FALSE;6;1;3;;;3;;;;;;;
100;Mairie de Saint-Paul,  Pôle Citoyenneté et de la Vie Locale - Direction de la Proximité et de la Politique de la Ville;TRUE;97415;Place du General de Gaulle 97460 Saint-Paul;97460;21 974 015 600 019;FALSE;45;408;6 185;1 228;942;1 144;1 070;936;1 098;1 187;1 016;1 131;1 087
101;France Services (CC PAYS DE CHATEAUGIRON COMMUNAUTE);TRUE;35069;16 Rue de Rennes 35410 Châteaugiron;35410;24 350 065 900 129;TRUE;2;40;726;;;5;;;;35;57;629;
103;EMERGENCE-OI;TRUE;97416;43f rue du four a chaux - App 29;97410;48 996 707 500 016;FALSE;13;16;104;13;8;8;8;8;25;33;18;22;15
104;COMMUNE DE SAINT-JOSEPH;TRUE;97412;Rue Raphaël Babet 97480 Saint-Joseph;97480;21 974 012 300 019;FALSE;7;756;13 297;3 521;1 853;1 943;1 856;1 856;1 891;2 585;1 868;1 982;1 879
105;Mairie du Coteau;TRUE;42071;Parc Bécot;42120;26 421 035 200 045;FALSE;5;;;;;;;;;;;;
106;ASSOCIATION MAHORAISE DE MEDIATION NUMERIQUE (MEDNUM MAYOTTE);TRUE;97616;10 RUE DU COMMERCE BP 321 MAMOUDZOU CEDEX;97640;89 202 784 800 019;FALSE;5;;;;;;;;;;;;
107;Centre Communal d'Action Sociale de Saint Nicolas-lez-Arras;TRUE;62764;Place Jean Jaurès 62223 Saint-Nicolas;62223;26 620 764 600 016;FALSE;3;;;;;;;;;;;;
108;FRANCE SERVICES VEYLE;TRUE;01306;10 Rue de la Poste 01290 Pont-de-Veyle;01290;20 007 055 500 087;TRUE;3;;;;;;;;;;;;
109;UTAS LA FERE;TRUE;02165;Place de l'Europe;02800;22 020 002 600 015;FALSE;30;17;107;16;2;6;;;5;21;;69;3
110;JARDIN DE COCAGNE DE LA HAUTE BORNE;TRUE;59009;150, avenue Harrison;59650;77 562 407 501 920;FALSE;1;;;;;;;;;;;;
111;C.C.A.S de Chantilly;TRUE;60141;11 Avenue du Maréchal Joffre 60500 Chantilly;60500;26 600 141 100 013;FALSE;2;;;;;;;;;;;;
112;Médiathèque Jean Macé;TRUE;02168;14, rue Jean de La Fontaine;02400;21 020 155 400 016;FALSE;11;;;;;;;;;;;;
113;Centre social de Chevreux;TRUE;02722;21 avenue Salvador Allende;02200;21 020 695 900 012;FALSE;1;;;;;;;;;;;;
114;Centre Social de Presles;TRUE;02722;17 avenue Robert Schuman;02200;21 020 695 900 012;FALSE;0;;;;;;;;;;;;
115;Centre Social Saint Crépin;TRUE;02722;10 Bd Jean Mermoz;02200;21 020 695 900 012;FALSE;3;;;;;;;;;;;;
116;Centre Social Saint Waast;TRUE;02722;12 rue du Belvédère;02200;21 020 695 900 012;FALSE;0;;;;;;;;;;;;
117;Espace France Services de la sous-préfecture de Vervins;TRUE;02789;Rue Raoul de Coucy;02140;17 020 001 800 035;TRUE;2;17;46;;;12;;;2;20;5;16;
118;"Centre socio-culturel ""Le Nautilus""";TRUE;62160;4 rue du Détroit;62200;21 620 160 800 017;FALSE;3;2;15;;;;;;;;15;;
119;UTAS de Thiérache - Site de Guise;TRUE;02361;128, Rue du Curoir 02120 GUISE;02120;22 020 002 600 015;FALSE;16;1;3;;;3;;;;;;;
121;France Services Pays d'Opale;TRUE;62397;9 avenue de la libération;62340;20 007 247 800 080;TRUE;1;2;23;4;4;5;4;4;4;4;4;4;4
122;UTAS Thiérache - Site d'Hirson;TRUE;02408;2 Rue Paul Doumer 02000 Laon;02000;22 020 002 600 015;FALSE;19;2;6;;;;;;6;;;;
123;ccas halluin;TRUE;59279;40 Rue Marthe Nollet 59250 Halluin;59250;26 590 279 100 010;FALSE;6;10;120;37;19;18;16;16;18;20;18;21;18
124;MonAssistantNumérique Lille Métropole;TRUE;59378;115 bis rue du docteur Charcot;59700;87 924 062 000 010;FALSE;1;;;;;;;;;;;;
125;CCAS d'Armentières;TRUE;59017;57 Rue Paul Bert 59280 Armentières;59280;26 590 017 500 117;FALSE;11;17;112;7;;60;;;8;21;;;42
126;FRANCE SERVICES LA POSTE CRECY-SUR-SERRE;TRUE;02237;1 RUE DES TELLIERS;02270;35 600 000 000 048;TRUE;2;4;9;;;;;;2;6;;;2
128;Centre Social et Culturel Guy Môquet;TRUE;59033;place du 8 mai 1945 - 59620 Aulnoye-Aymeries;59620;33 430 162 900 013;FALSE;4;;;;;;;;;;;;
129;CCAS WASQUEHAL;TRUE;59646;4 Rue Michelet 59290 Wasquehal;59290;26 590 646 100 099;FALSE;4;2;10;3;;;;;2;5;;2;2
130;CCAS de Tourcoing Action Sociale;TRUE;59599;26 Rue de la Bienfaisance 59200 Tourcoing;59200;26 590 599 200 011;FALSE;4;;;;;;;;;;;;
131;CCAS RETIERS;TRUE;35165;19 Rue Georges Clemenceau 35240 Retiers;35240;26 350 225 400 018;FALSE;1;;;;;;;;;;;;
132;iLOZ - MAISON DE SERVICES ET DE L'EMPLOI;TRUE;35219;36 Rue de l'Avenir;35550;38 920 783 800 027;FALSE;3;;;;;;;;;;;;
133;Mon Assistant Numérique Pays de Brest;TRUE;29075;10 Rue des Ajoncs d'Or 29490 Guipavas;29490;88 095 873 100 015;FALSE;1;;;;;;;;;;;;
134;UDAF de la Loire - Saint-Etienne;TRUE;42218;7 Rue Etienne Dolet 42000 Saint-Étienne;42000;77 639 896 800 060;FALSE;40;5;35;7;;7;;;4;14;2;;11
135;CCAS CESSY;TRUE;01173;350 Rue de la Mairie 01170 Cessy;01170;26 010 095 300 017;FALSE;3;;;;;;;;;;;;
136;Association ECLAT;TRUE;01248;290 Allee des Sports 01390 Saint-André-de-Corcy;01390;40 226 087 100 031;FALSE;2;22;332;;;42;2;2;75;75;53;120;63
137;CCAS DE SAINT ANDRE DE CORCY;TRUE;01333;SQUARE CLAUDIUS BARDET;01390;21 010 333 900 011;FALSE;2;3;6;;;;;;2;;;;4
138;FRANCE SERVICES SAINT TRIVIER DE COURTES;TRUE;01388;22 ESPLANADE DE LA POSTE;01560;35 600 000 058 530;TRUE;2;1;6;;;;;;;4;;3;
139;Passerelle;TRUE;69383;6 Rue Frédéric Mistral 69003 Lyon;69003;81 788 385 300 019;FALSE;7;38;383;63;11;59;10;7;44;71;19;179;46
140;MAIRIE DE CALUIRE ET CUIRE;TRUE;69034;Place du Docteur Frédéric Dugoujon 69300 Caluire-et-Cuire;69300;21 690 034 000 011;FALSE;0;;;;;;;;;;;;
142;Médiathèque Bernard Pivot (Caluire et Cuire);FALSE;69034;Place du Docteur Frédéric Dugoujon 69300 Caluire-et-Cuire;69300;21 690 034 000 011;FALSE;3;;;;;;;;;;;;
143;Association pour le développement local - Villeurbanne;TRUE;69266;13 Rue Docteur Ollier;69100;34 805 258 000 035;FALSE;9;12;41;6;3;6;5;;5;5;6;;5
144;Mairie de Plouasne;TRUE;22208;Place de l'Eglise 22830 Plouasne;22830;21 220 208 900 018;FALSE;3;6;66;23;;13;;;11;12;5;17;13
145;Espace France Services (Communauté de Communes de Saint-Méen Montauban);TRUE;35320;22 rue de Gael;35360;20 003 899 000 012;TRUE;3;4;28;;;2;;;15;8;;9;
147;Maison France Services de Saint-Aubin-du-Cormier;TRUE;35253;3 rue de la Libération – 35140 Saint-Aubin-du-Cormier;35140;24 350 077 400 043;TRUE;2;;;;;;;;;;;;
148;Commune de BOHAL;TRUE;56124;Allee des Acacias 56140 Bohal;56140;21 560 020 600 019;FALSE;1;1;3;;;;;;3;;;;
149;Mon Assistant Numérique Vannes;TRUE;56247;9 Residence de Kerprat 56250 Saint-Nolff;56250;84 948 700 400 012;FALSE;1;;;;;;;;;;;;
150;ASSOCIATION RUN ACTION;TRUE;97411;21 RUE GEORGES POMPIDOU, ALLEE DU ZOO, LE CHAUDRON;97490;51 411 642 500 018;FALSE;4;;;;;;;;;;;;
151;FAMILLES RURALES FEDERATION DE LA REUNION;TRUE;97403;"110 bis Rue Defaud

Autre adresse :
Mr DIJOUX René Claude 
Président 
24 bis impasse Joseph Bédier 97430 le tampon";97414;80 974 112 700 033;FALSE;2;;;;;;;;;;;;
152;COMMUNE DU TAMPON (COHESION SOCIALE);TRUE;97422;137 AVENUE DE L'EUROPE;97430;21 974 022 200 019;FALSE;5;5;61;10;10;12;10;10;10;10;10;14;10
153;Espace Numérique Sud Charente;TRUE;16230;3 Avenue Henri Dunant 16190 Montmoreau;16190;81 834 687 600 019;FALSE;7;3;16;6;;;;;;;;2;10
154;atelier graphite;TRUE;33063;157 Cours Balguerie Stuttenberg 33300 Bordeaux;33300;49 428 909 300 028;FALSE;5;;;;;;;;;;;;
155;Simple Comme Sarah;TRUE;17300;Rue Saint-marsault 17000 La Rochelle;17000;84 789 646 100 013;FALSE;1;;;;;;;;;;;;
156;Centre social et culturel Christiane Faure;TRUE;17300;41 Rue Thiers;17000;78 134 189 600 020;FALSE;3;;;;;;;;;;;;
157;CCAS DE POITIERS;TRUE;86194;45 Rue de la Marne 86000 Poitiers;86000;26 860 017 800 225;FALSE;22;;;;;;;;;;;;
158;Espace de vie sociale Diapason du vic-bilh;TRUE;64394;23 Rue des Pelhans 64350 Lembeye;64350;49 758 433 400 021;FALSE;3;2;7;;;2;2;;2;2;;2;
159;Centre Alexis Peyret;TRUE;64519;2 Rue Aristide Finco 64121 Serres-Castet;64121;39 123 108 100 012;FALSE;3;35;207;20;;57;;;27;58;15;8;58
160;CCAS CENON;TRUE;33119;1 Avenue Carnot 33150 Cenon;33150;26 330 117 800 012;FALSE;11;;;;;;;;;;;;
161;Mission Locale de l'Agenais, de l'Albret et du Confluent;TRUE;47001;70 Boulevard Sylvain Dumon 47000 Agen;47000;38 988 650 800 040;FALSE;21;;;;;;;;;;;;
162;CCAS OLORON SAINTE MARIE;TRUE;64422;Place Georges Clemenceau 64400 Oloron-Sainte-Marie;64400;26 640 403 700 019;FALSE;4;11;66;6;8;18;4;;16;17;4;16;14
163;La MedNum;TRUE;75102;Liberté Living Lab - 9 rue d'Alexandrie 75002 Paris.;75002;83 167 389 200 012;FALSE;0;;;;;;;;;;;;
164;France Services CCVO Ribemont;TRUE;02648;12 place du château;02240;20 004 042 600 013;TRUE;1;1;3;;;;;;3;;;;
165;Maison des Solidarités de Beaumont;TRUE;63032;30 CHEMIN DU MAS;63110;22 630 001 000 015;FALSE;16;3;26;2;2;5;2;2;5;4;2;10;4
166;Régie de Territoire des 2 Rives;TRUE;63216;"Boulevard de la Porte Neuve, COUR DE VALMY
63160 BILLOM";63160;80 741 568 200 010;FALSE;7;11;64;29;;8;4;;6;13;7;9;7
167;MDS/FRANCE SERVICES ROCHEFORT MONTAGNE;TRUE;63264;12 ROUTE DE BORDAS;63210;22 630 001 000 015;TRUE;5;7;23;;;2;;;11;;5;3;2
168;M@n Mon Assistant Numérique Limagne Volcans;TRUE;63001;1 Chemin de la Matre - Tressat 63260 Chaptuzat;63260;89 170 584 000 017;FALSE;1;;;;;;;;;;;;
169;Maison des Solidarités de Thiers;TRUE;63430;20 rue des Docteurs Dumas;63300;22 630 001 000 015;FALSE;25;;;;;;;;;;;;
170;Maison des Solidarités de Chamalières CD63;FALSE;63075;1 rue d'Assas;63400;22 630 001 000 015;FALSE;8;2;8;;;;;;4;;;4;
171;France Services de Cormicy;TRUE;51171;5 Place d'Armes 51220 Cormicy;51220;20 007 338 500 011;TRUE;2;8;54;18;;5;;;4;10;;25;9
172;L.A Plateforme SCIC;TRUE;97415;Le Guillaume 97460 Saint-Paul;97460;83 971 737 800 021;FALSE;3;;;;;;;;;;;;
173;AGAME, insertion par l'informatique;TRUE;97408;198 Chemin Departemental 41 97419 La Possession;97419;80 856 844 800 019;FALSE;7;;;;;;;;;;;;
174;CCAS Thorigné Fouillard;TRUE;35334;Esplanade des Droits de l'Homme;35235;26 350 306 200 048;FALSE;3;;;;;;;;;;;;
175;Camping-car France-Services MSA/CCKB;TRUE;22266;6 Rue Joseph Pennec 22110 Rostrenen;22110;24 220 071 500 074;FALSE;5;;;;;;;;;;;;
176;Médiathèque Ménouvel;TRUE;35152;20 rue Jean-Marie Pavy 35340 La Bouëxière;35340;21 350 031 700 010;FALSE;1;;;;;;;;;;;;
178;centre social de l'Olivier;TRUE;69290;30 Rue Maréchal Leclerc 69800 Saint-Priest;69800;41 825 381 100 016;FALSE;5;;;;;;;;;;;;
179;Le Forum;TRUE;26289;13 Rue Raoul Lambert 26340 Saillans;26340;45 263 919 800 012;FALSE;2;4;46;12;;8;4;;12;15;10;6;8
180;Pôle Médico-Social Balmettes;TRUE;74010;1-3 avenue Lucien Boschetti - ANNECY;74000;22 740 001 700 074;FALSE;8;;;;;;;;;;;;
181;Pôle médico-social de Novel Plaine;TRUE;74010;Rue de l’École normale ANNECY;74000;22 740 001 700 074;FALSE;11;;;;;;;;;;;;
182;PMS de Périphérie et Vallées;TRUE;74010;Non renseigné;74000;22 740 001 700 074;FALSE;4;;;;;;;;;;;;
183;Pôle Médico-Social des Voirons;TRUE;74012;7 Bis Place Porte Bonheur,;74100;22 740 001 700 074;FALSE;11;;;;;;;;;;;;
